Batch Size,Gas Used
Batch Size,Gas Used
Batch Size,Estimated Gas,Actual Gas Used
Batch Size,Estimated Gas,Actual Gas Used
Batch Size,Estimated Gas,Actual Gas Used
Batch Size,Estimated Gas,Actual Gas Used
Batch Size,Estimated Gas,Actual Gas Used
Batch Size,Estimated Gas,Actual Gas Used
100,2987636,2962953
200,4230096,4195630
300,5472560,5428311
400,6715087,6661054
450,6474591,6422452
500,7113116,7055949
550,7717201,7655278
600,8355770,8288818
650,8959876,8888168
700,9598439,9521703
750,10202565,10121072
800,10841147,10754626
850,11462481,11371067
900,12083872,11987565
950,12705212,12604013
1000,13326611,13220519
