Batch Size,Estimated Gas,Actual Gas Used,Error
100,3004908,2980089,Success
200,4247332,4212730,Success
300,5489856,5445471,Success
Batch Size,Estimated Gas,Actual Gas Used,Error
100,1281336,1270089,Success
200,2523760,2502730,Success
300,3766285,3735471,Success
400,5008836,4968238,Success
500,7974986,7911033,Success
600,9217579,9143842,Success
700,10460237,10376715,Success
800,11702933,11609626,Success
900,12945694,12842601,Success
1000,14188469,14075591,Success
1100,15431308,15308644,Success
1200,16674175,16541724,Success
1300,17917032,17774795,Success
1400,19159953,19007929,Success
1500,20402901,20241090,Success
1600,21645924,21474326,Success
1700,22888940,22707554,Success
1800,24132006,23940832,Success
1900,25375159,25174197,Success
2000,26618329,26407578,Success
